#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 11 09 20 48 347  1.3  2.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 20 54 345  1.6  1.9 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 21 00 344  1.5  1.8 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 21 06 339  1.5  1.9 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 21 12 319  1.4  2.1 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 21 18 308  1.4  1.7 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 21 24 294  1.3  1.9 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 21 30 291  1.3  2.1 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 21 36 280  1.2  2.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 21 42 269  0.8  1.3 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 21 48 285  1.3  1.5 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 21 54 280  1.4  1.8 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 22 00 286  1.1  1.7 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 11 09 22 06 285  1.0  1.7 99.00 99.00 99.00 999 1011.3  13.8 999.0 999.0 99.0 99.00
2016 11 09 22 12 281  1.4  1.7 99.00 99.00 99.00 999 1011.4  13.8 999.0 999.0 99.0 99.00
2016 11 09 22 18 271  1.6  1.8 99.00 99.00 99.00 999 1011.5  13.7 999.0 999.0 99.0 99.00
2016 11 09 22 24 275  1.9  2.3 99.00 99.00 99.00 999 1011.6  13.7 999.0 999.0 99.0 99.00
2016 11 09 22 30 272  1.4  1.8 99.00 99.00 99.00 999 1011.6  13.6 999.0 999.0 99.0 99.00
2016 11 09 22 36 265  1.4  1.9 99.00 99.00 99.00 999 1011.7  13.7 999.0 999.0 99.0 99.00
2016 11 09 22 42 262  1.4  2.2 99.00 99.00 99.00 999 1011.7  13.7 999.0 999.0 99.0 99.00
2016 11 09 22 48 250  1.3  1.9 99.00 99.00 99.00 999 1011.7  13.7 999.0 999.0 99.0 99.00
2016 11 09 22 54 249  1.8  2.0 99.00 99.00 99.00 999 1011.8  13.7 999.0 999.0 99.0 99.00
2016 11 09 23 00 261  1.8  2.3 99.00 99.00 99.00 999 1012.0  13.7 999.0 999.0 99.0 99.00
2016 11 09 23 06 277  2.0  3.5 99.00 99.00 99.00 999 1012.0  13.8 999.0 999.0 99.0 99.00
2016 11 09 23 12 307  6.6  9.8 99.00 99.00 99.00 999 1012.1  13.7 999.0 999.0 99.0 99.00
2016 11 09 23 18 316  4.5 11.0 99.00 99.00 99.00 999 1012.0  13.2 999.0 999.0 99.0 99.00
2016 11 09 23 24 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  13.1 999.0 999.0 99.0 99.00
2016 11 09 23 30 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  13.0 999.0 999.0 99.0 99.00
2016 11 09 23 36 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  13.1 999.0 999.0 99.0 99.00
2016 11 09 23 42 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2016 11 09 23 48 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2016 11 09 23 54 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2016 11 10 00 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2016 11 10 00 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2016 11 10 00 12 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2016 11 10 00 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2016 11 10 00 24 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2016 11 10 00 30 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  13.0 999.0 999.0 99.0 99.00
2016 11 10 00 36 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2016 11 10 00 42 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2016 11 10 00 48 999 99.0 99.0 99.00 99.00 99.00 999 9999.0  12.5 999.0 999.0 99.0 99.00
2016 11 10 00 54 999 99.0 99.0 99.00 99.00 99.00 999 1013.2  12.6 999.0 999.0 99.0 99.00
2016 11 10 01 00 999 99.0 99.0 99.00 99.00 99.00 999 1013.3  12.9 999.0 999.0 99.0 99.00
2016 11 10 01 06 999 99.0 99.0 99.00 99.00 99.00 999 1013.2  13.0 999.0 999.0 99.0 99.00
2016 11 10 01 12 999 99.0 99.0 99.00 99.00 99.00 999 1013.2  13.1 999.0 999.0 99.0 99.00
2016 11 10 01 18 999 99.0 99.0 99.00 99.00 99.00 999 1013.3  13.1 999.0 999.0 99.0 99.00
2016 11 10 01 24 999 99.0 99.0 99.00 99.00 99.00 999 1013.4  13.0 999.0 999.0 99.0 99.00
2016 11 10 01 30 999 99.0 99.0 99.00 99.00 99.00 999 1013.4  12.9 999.0 999.0 99.0 99.00
2016 11 10 01 36 999 99.0 99.0 99.00 99.00 99.00 999 1013.4  12.9 999.0 999.0 99.0 99.00
2016 11 10 01 42 999 99.0 99.0 99.00 99.00 99.00 999 1013.5  12.9 999.0 999.0 99.0 99.00
2016 11 10 01 48 999 99.0 99.0 99.00 99.00 99.00 999 1013.6  12.9 999.0 999.0 99.0 99.00
2016 11 10 01 54 999 99.0 99.0 99.00 99.00 99.00 999 1013.7  12.9 999.0 999.0 99.0 99.00
2016 11 10 02 00 999 99.0 99.0 99.00 99.00 99.00 999 1013.7  12.9 999.0 999.0 99.0 99.00
2016 11 10 02 06 999 99.0 99.0 99.00 99.00 99.00 999 1013.8  12.9 999.0 999.0 99.0 99.00
2016 11 10 02 12 999 99.0 99.0 99.00 99.00 99.00 999 1013.8  13.0 999.0 999.0 99.0 99.00
2016 11 10 02 18 999 99.0 99.0 99.00 99.00 99.00 999 1013.9  13.0 999.0 999.0 99.0 99.00
2016 11 10 02 24 332  5.9  8.1 99.00 99.00 99.00 999 1013.9  13.0 999.0 999.0 99.0 99.00
2016 11 10 02 30 331  6.0 10.4 99.00 99.00 99.00 999 1013.9  13.0 999.0 999.0 99.0 99.00
2016 11 10 02 36 329  5.3  8.7 99.00 99.00 99.00 999 1014.0  13.0 999.0 999.0 99.0 99.00
2016 11 10 02 42 333  5.4  7.8 99.00 99.00 99.00 999 1014.0  13.0 999.0 999.0 99.0 99.00
2016 11 10 02 48 335  6.8 10.4 99.00 99.00 99.00 999 1014.1  13.0 999.0 999.0 99.0 99.00
2016 11 10 02 54 336  6.5 10.9 99.00 99.00 99.00 999 1014.0  13.1 999.0 999.0 99.0 99.00
2016 11 10 03 00 335  5.7 10.0 99.00 99.00 99.00 999 1014.0  13.0 999.0 999.0 99.0 99.00
2016 11 10 03 06 335  7.4 10.5 99.00 99.00 99.00 999 1014.1  13.0 999.0 999.0 99.0 99.00
2016 11 10 03 12 338  6.7  9.3 99.00 99.00 99.00 999 1014.1  13.1 999.0 999.0 99.0 99.00
2016 11 10 03 18 325  6.2  9.0 99.00 99.00 99.00 999 1014.2  13.0 999.0 999.0 99.0 99.00
2016 11 10 03 24 333  5.5  7.8 99.00 99.00 99.00 999 1014.2  12.8 999.0 999.0 99.0 99.00
2016 11 10 03 30 335  6.7  9.9 99.00 99.00 99.00 999 1014.2  12.7 999.0 999.0 99.0 99.00
2016 11 10 03 36 339  7.4 10.7 99.00 99.00 99.00 999 1014.2  12.9 999.0 999.0 99.0 99.00
2016 11 10 03 42 337  8.2 11.4 99.00 99.00 99.00 999 1014.2  13.0 999.0 999.0 99.0 99.00
2016 11 10 03 48 334  6.4 10.3 99.00 99.00 99.00 999 1014.2  12.9 999.0 999.0 99.0 99.00
2016 11 10 03 54 332  6.8  9.8 99.00 99.00 99.00 999 1014.3  12.9 999.0 999.0 99.0 99.00
2016 11 10 04 00 339  6.9  9.4 99.00 99.00 99.00 999 1014.3  12.9 999.0 999.0 99.0 99.00
2016 11 10 04 06 336  6.1 10.2 99.00 99.00 99.00 999 1014.3  12.9 999.0 999.0 99.0 99.00
2016 11 10 04 12 335  5.6  8.0 99.00 99.00 99.00 999 1014.3  12.8 999.0 999.0 99.0 99.00
2016 11 10 04 18 337  5.9  7.8 99.00 99.00 99.00 999 1014.3  12.6 999.0 999.0 99.0 99.00
2016 11 10 04 24 337  5.5 10.0 99.00 99.00 99.00 999 1014.3  12.7 999.0 999.0 99.0 99.00
2016 11 10 04 30 333  4.7  8.8 99.00 99.00 99.00 999 1014.3  12.7 999.0 999.0 99.0 99.00
2016 11 10 04 36 328  4.6  7.1 99.00 99.00 99.00 999 1014.3  12.6 999.0 999.0 99.0 99.00
2016 11 10 04 42 329  5.1  6.7 99.00 99.00 99.00 999 1014.4  12.5 999.0 999.0 99.0 99.00
2016 11 10 04 48 326  5.4  6.9 99.00 99.00 99.00 999 1014.4  12.4 999.0 999.0 99.0 99.00
2016 11 10 04 54 325  5.7  7.5 99.00 99.00 99.00 999 1014.4  12.3 999.0 999.0 99.0 99.00
2016 11 10 05 00 326  4.9  7.2 99.00 99.00 99.00 999 1014.4  12.2 999.0 999.0 99.0 99.00
